,team_name,stadium,lat/long
0,Arsenal,Emirates Stadium,"(51.5548885, -0.108438)"
1,Aston Villa,Villa Park,"(41.8897519, -87.98895429999999)"
2,Brighton & Hove Albion,Falmer Stadium,"(50.8615651, -0.0837163)"
3,Burnley,Turf Moor,"(53.7886839, -2.2303478)"
4,Chelsea,Stamford Bridge,"(51.481663, -0.1909565)"
5,Crystal Palace,Selhurst Park,"(51.39797429999999, -0.0860576)"
6,Everton,Goodison Park,"(53.438787, -2.9663193)"
7,Fulham,Craven Cottage,"(51.4748946, -0.2217799)"
8,Leeds United,Elland Road,"(53.7778162, -1.5721446)"
9,Leicester City,King Power Stadium,"(52.6203662, -1.1421895)"
10,Liverpool,Anfield,"(53.4308294, -2.96083)"
11,Manchester City,City of Manchester Stadium,"(53.48313810000001, -2.2003953)"
12,Manchester United,Old Trafford,"(53.4630589, -2.2913401)"
13,Newcastle United,St James' Park,"(40.86502369999999, -73.89777269999999)"
14,Sheffield United,Bramall Lane,"(53.3699684, -1.4699284)"
15,Southampton,St Mary's Stadium,"(37.8416782, -122.1055344)"
16,Tottenham Hotspur,Tottenham Hotspur Stadium,"(51.6042856, -0.06638129999999999)"
17,West Bromwich Albion,The Hawthorns,"(39.9454076, -85.94898479999999)"
18,West Ham United,London Stadium,"(51.5387095, -0.0166037)"
19,Wolverhampton Wanderers,Molineux Stadium,"(52.5902362, -2.1304288)"
20,Watford,Vicarage Road,"(51.6499059, -0.401525)"
21,Norwich City,Carrow Road,"(52.6221535, 1.3093062)"
22,AFC Bournemouth,Dean Court,"(36.1621099, -95.87412789999999)"
